,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_initializer,param_max_depth,param_p_xo,param_tournament_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
22,0.2011115550994873,0.018088857854469263,0.0,0.0,rhh,10,0.9,5,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-18.968786239624023,-8.545866966247559,-11.047264099121094,-14.186058044433594,-6.959489345550537,-11.941492938995362,4.279514094276847,19,6
23,0.1906672954559326,0.01936708712794221,0.0002009868621826172,0.0004019737243652344,rhh,10,0.9,7,"{'initializer': 'rhh', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-18.111494064331055,-9.334305763244629,-12.58031940460205,-13.216348648071289,-9.44660758972168,-12.53781509399414,3.204563855861647,21,6
0,0.23862342834472655,0.03359186975397587,0.00012454986572265624,0.0002490997314453125,grow,6,0.7,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-7.107611656188965,-7.015449523925781,-3.1354117393493652,-4.291497707366943,-3.133702039718628,-4.936734533309936,1.7858210457597121,1,7
1,0.23558201789855956,0.0374375581947753,0.0004376411437988281,0.0008752822875976563,grow,6,0.7,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-16.702733993530273,-10.166584014892578,-7.83250093460083,-4.1301422119140625,-27.379446029663086,-13.242281436920166,8.168119435829645,19,7
2,0.2425062656402588,0.030469540352547776,0.0,0.0,grow,6,0.7,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-19.188173294067383,-10.356328964233398,-9.527700424194336,-8.509787559509277,-26.096948623657227,-14.735787773132325,6.840564664581081,23,7
3,0.23448262214660645,0.047304646175776566,0.0,0.0,grow,6,0.9,3,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-6.089855194091797,-12.306528091430664,-4.131150722503662,-4.338274955749512,-3.4970476627349854,-6.072571325302124,3.2333492135844875,3,7
4,0.19441614151000977,0.009708024400677017,0.00020008087158203126,0.0004001617431640625,grow,6,0.9,5,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 5}",-18.731718063354492,-9.645047187805176,-12.754161834716797,-11.304247856140137,-9.546525001525879,-12.396339988708496,3.38079205470188,17,7
5,0.2550949573516846,0.009087684629827243,0.00011610984802246094,0.00023221969604492188,grow,6,0.9,7,"{'initializer': 'grow', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 7}",-16.698509216308594,-11.355315208435059,-12.366409301757812,-11.120516777038574,-9.972689628601074,-12.302688026428223,2.325994023524729,16,7
6,0.2420340061187744,0.026686674379847636,0.000527191162109375,0.0006760587643823597,grow,10,0.7,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 3}",-17.42108726501465,-6.43446683883667,-3.1354117393493652,-4.291497707366943,-3.133702039718628,-6.883233118057251,5.404997724866603,9,7
7,0.2834357738494873,0.03223839494901851,0.00011830329895019531,0.00023660659790039065,grow,10,0.7,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 5}",-17.28571128845215,-11.234230041503906,-7.83250093460083,-4.373952865600586,-27.379446029663086,-13.621168231964111,8.092418906705973,21,7
8,0.2676872730255127,0.0778950956108307,0.0005555152893066406,0.0006805059177252289,grow,10,0.7,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.7, 'tournament_size': 7}",-18.697750091552734,-10.356328964233398,-11.143156051635742,-8.509787559509277,-25.21681785583496,-14.784768104553223,6.267166543948716,24,7
9,0.21702651977539061,0.049476492011703156,0.0003996849060058594,0.0004895126194160448,grow,10,0.9,3,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 3}",-6.089855194091797,-12.306528091430664,-7.942678928375244,-4.544918537139893,-3.4970476627349854,-6.876205682754517,3.1015390507419225,8,7
10,0.2128666400909424,0.016577763543525796,0.00039997100830078123,0.0004898624643296147,grow,10,0.9,5,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 5}",-18.731718063354492,-9.645047187805176,-12.754161834716797,-11.304247856140137,-9.546525001525879,-12.396339988708496,3.38079205470188,17,7
11,0.40439639091491697,0.033910777814547315,0.0003982067108154297,0.00048770722719703195,grow,10,0.9,7,"{'initializer': 'grow', 'max_depth': 10, 'p_xo': 0.9, 'tournament_size': 7}",-16.69678497314453,-10.520393371582031,-11.76051139831543,-10.898798942565918,-9.220877647399902,-11.819473266601562,2.5721428794454395,15,7
12,0.273702335357666,0.02346510178686137,0.0004141807556152344,0.0005076862270482125,rhh,6,0.7,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 3}",-16.393489837646484,-2.7283270359039307,-7.840823650360107,-4.267751216888428,-3.4970476627349854,-6.9454878807067875,5.038111278790454,10,7
13,0.3255764007568359,0.08626223332333444,0.0,0.0,rhh,6,0.7,5,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 5}",-9.320952415466309,-5.365303039550781,-3.937066078186035,-4.722173690795898,-3.4741671085357666,-5.363932466506958,2.082163484428774,2,7
14,0.2950636386871338,0.04604261429567757,0.0006014823913574219,0.0004911142961626253,rhh,6,0.7,7,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.7, 'tournament_size': 7}",-12.52053165435791,-8.363017082214355,-6.789100646972656,-9.123085021972656,-6.412388324737549,-8.641624546051025,2.1797562061261058,11,7
15,0.23861331939697267,0.031477499940463165,0.0004405498504638672,0.0005432740405441187,rhh,6,0.9,3,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 3}",-3.096803903579712,-6.3216118812561035,-4.851968765258789,-11.523492813110352,-6.066901206970215,-6.372155714035034,2.816767890434271,5,7
16,0.21594958305358886,0.03552765970900209,0.0,0.0,rhh,6,0.9,5,"{'initializer': 'rhh', 'max_depth': 6, 'p_xo': 0.9, 'tournament_size': 5}",-19.27945327758789,-12.306528091430664,-12.79358196258545,-11.523492813110352,-10.868645668029785,-13.354340362548829,3.0347983280028012,20,7
